logFC	AveExpr	t	P.Value	adj.P.Val	B
NXPE2	0.775005588235298	7.16883851851852	4.60662174734636	8.14513463165866e-05	0.0275366891734863	1.53673985521553
LOC101060386 /// SMG1 /// SMG1P1 /// SMG1P2 /// SMG1P3 /// SMG1P5	0.892513529411762	10.365427037037	4.60385841578693	8.20673457843437e-05	0.0275366891734863	1.52996557671378
PCK2	1.21139552941176	7.08226148148148	4.59975488411069	8.2990663487754e-05	0.0275366891734863	1.51990622293895
SLC35D2	0.720181882352938	6.89511814814815	4.59638349696423	8.37569722494417e-05	0.0275366891734863	1.51164201426104
IFT74	0.942934588235295	4.74050444444444	4.59319968635964	8.44871063654947e-05	0.0275366891734863	1.50383792261905
IKBKB	-0.456359823529414	7.08719666666667	-4.58614001749805	8.61287416371055e-05	0.0277375561757973	1.48653451939903
SMIM20	1.11575952941176	4.78390074074074	4.57654009586562	8.84120958636294e-05	0.0279647126348273	1.46300743624813
SPI1	-0.569602470588235	5.79297259259259	-4.57451431007297	8.89015705528296e-05	0.0279647126348273	1.45804310941419
TIMMDC1	0.459313647058823	6.38063851851852	4.56915754360886	9.02089066577265e-05	0.0280497855506301	1.44491664602381
PDZD8	1.19695329411765	8.80647074074074	4.55361594367623	9.41110571663734e-05	0.0281763805190441	1.40683839738305
MTA1	0.729021176470589	9.54208666666667	4.55292099466012	9.42894098852493e-05	0.0281763805190441	1.40513591287504
RPL22	0.365511176470585	11.1462333333333	4.55270601681156	9.43446501279169e-05	0.0281763805190441	1.40460926417692
LOC728026 /// MIR1244-1 /// MIR1244-2 /// MIR1244-3 /// MIR1244-4 /// PTMA /// PTMAP5	0.424056411764704	8.79307851851852	4.55075980676952	9.48462102962268e-05	0.0281763805190441	1.39984155181143
DAD1	1.34622970588235	8.36728888888889	4.54699546017246	9.58238580419954e-05	0.0281763805190441	1.39062026786676
SMARCA4	0.726088823529409	8.59790296296296	4.53237827822374	9.97160095800907e-05	0.0290055644210819	1.35481852456523
AKT1S1	-0.62764105882353	9.80348740740741	-4.51728451511526	0.000103899960066743	0.0296114480415763	1.31785828241423
HES6	1.10669664705883	7.4738	4.51471359296157	0.000104629797832323	0.0296114480415763	1.31156376563159
PHF14	0.613278117647058	8.42296592592593	4.51312691143755	0.000105082766967001	0.0296114480415763	1.30767915160528
AMOT	1.3089205882353	7.37017481481482	4.50107103043129	0.000108588736897327	0.0302004214978475	1.27816667112494
COX5B	1.05800870588235	8.99281037037037	4.49159566639554	0.000111425600134981	0.0302004214978475	1.25497567097099
RABGGTB	1.54278035294118	5.71944777777778	4.48600980067928	0.000113132329162852	0.0302004214978475	1.24130612430646
UBXN4	0.766681999999998	9.1836462962963	4.48543694435274	0.000113308823002644	0.0302004214978475	1.23990432964715
TPRG1L	0.855717411764707	5.50257296296296	4.48348918522806	0.000113910964353741	0.0302004214978475	1.23513822425683
CCNB1IP1	0.845281176470589	7.05493592592593	4.47949608366664	0.000115155365906949	0.0302004214978475	1.22536777978237
UBA5	0.732116647058821	5.99109666666667	4.4707061514085	0.000117942398171083	0.0302004214978475	1.20386294517946
RPL31	0.370976470588236	10.9140222222222	4.46964240645237	0.000118284190924346	0.0302004214978475	1.20126071120479
LOC100133920 /// LOC100996643 /// LOC101928195 /// LOC102724580 /// LOC102724904 /// LOC105379443 /// LOC286297 /// MTHFD1L	-0.949137294117649	6.21939296296296	-4.46088200176241	0.000121136652154926	0.0302004214978475	1.17983227037925
ANKRD17	0.572815941176469	7.40642111111111	4.46032901590915	0.000121318982772488	0.0302004214978475	1.17847976258054
CDH17	1.14499417647059	9.18920074074074	4.4566038534301	0.000122554361999446	0.0302004214978475	1.16936905599249
C21orf59	0.878297647058823	7.91814777777778	4.45211892223448	0.000124058278142918	0.0302004214978475	1.15840109227666
NGRN	1.34934282352941	6.17220777777778	4.45038714798901	0.000124643876717651	0.0302004214978475	1.15416628652341
LOC101927490	-0.472883235294117	2.8641962962963	-4.44980967530721	0.000124839758023149	0.0302004214978475	1.15275419387934
DNAJC19	0.872649705882351	5.61344888888889	4.44809315239636	0.000125423815584505	0.0302004214978475	1.14855688521281
RPS7	0.679912352941177	11.036037037037	4.44564992289476	0.000126259818800902	0.0302004214978475	1.14258286698448
RSRC2	0.583492705882354	6.5017037037037	4.4453222964366	0.000126372342825607	0.0302004214978475	1.14178180057876
GALNT1	1.24836188235294	7.89076037037037	4.44272539271499	0.00012726778244694	0.0302004214978475	1.13543241212193
RAB11A	0.766560764705885	9.34420962962963	4.43743099797666	0.000129112891715103	0.0302604907580929	1.12248879542271
FKBP8	-0.618265000000002	6.98909296296296	-4.43335381973291	0.000130551864996329	0.0302604907580929	1.11252201454531
OSTC	1.36629782352941	7.09588740740741	4.42923314031375	0.000132022356088495	0.0302604907580929	1.10244980023212
MRPS9	0.66777823529412	6.51741703703704	4.42031434785946	0.000135261585953542	0.0302604907580929	1.08065268490066
UBA3	0.418757470588236	9.92214888888889	4.41861039202466	0.000135889357748798	0.0302604907580929	1.07648879598294
UBN1	0.699562352941177	8.69810481481482	4.41620017002489	0.000136782269696723	0.0302604907580929	1.07059930985412
PANX1	0.839643529411763	5.24303555555556	4.40643042084522	0.000140461640252833	0.0302604907580929	1.04672985594655
NUBPL	1.14964482352941	6.82070555555556	4.40612280301927	0.000140579071741081	0.0302604907580929	1.04597837272573
BECN1	0.895971647058823	6.6005437037037	4.40092610466561	0.000142577661148989	0.0302604907580929	1.03328412678568
GPR89A /// GPR89B	0.57783488235294	6.39384703703704	4.39822846982769	0.00014362622171003	0.0302604907580929	1.02669509581812
GRSF1	0.780423411764705	7.8755962962963	4.39796530915227	0.000143728919662087	0.0302604907580929	1.02605234315076
CECR6	-0.269058176470589	4.16549	-4.39546505331345	0.000144708278594622	0.0302604907580929	1.01994583673773
ZNF415	-0.391759529411763	6.25417740740741	-4.39354864170481	0.00014546341995568	0.0302604907580929	1.01526553506872
NDUFB5	1.47168623529412	5.06729074074074	4.38639214633251	0.00014831805140067	0.0302604907580929	0.997789734650809
ARHGAP30	-0.635128411764706	6.43994666666667	-4.384904152921	0.000148918529245914	0.0302604907580929	0.994156518950046
MCEE	0.938098647058824	3.1404262962963	4.38461193451055	0.000149036736380367	0.0302604907580929	0.993443028609938
ATG16L1	0.498013647058823	6.88853185185185	4.38453617499054	0.000149067397525585	0.0302604907580929	0.993258052458222
ARID4B /// RBM34	0.558521470588237	4.22640333333333	4.38269986171789	0.000149812499623277	0.0302604907580929	0.988774575955927
HARS	0.680775764705884	7.38399740740741	4.38145532181325	0.000150319581359139	0.0302604907580929	0.985736069610855
RPA1	1.06106917647059	7.93764740740741	4.38003883704216	0.000150898791350117	0.0302604907580929	0.982277881110215
ZNF417 /// ZNF587	1.07109617647059	2.28929511111111	4.37345434276622	0.000153620405932223	0.0302604907580929	0.966204211675926
MAEA	0.889585176470588	5.78708481481481	4.37088948766194	0.000154693671029898	0.0302604907580929	0.95994377660293
CCDC18-AS1	0.916717529411766	6.22600148148148	4.36854713903743	0.000155680317892043	0.0302604907580929	0.954226810217595
SRSF10	0.792406	7.1329237037037	4.36762028235182	0.000156072449173645	0.0302604907580929	0.95196472879931
DNAJC27	0.414263705882354	5.1044662962963	4.36287964035033	0.00015809345924235	0.0302604907580929	0.940395601656662
RPLP1	1.031345	8.51320962962963	4.36060270852181	0.000159073347575526	0.0302604907580929	0.934839459897858
UBE2K	0.73276088235294	7.65777703703704	4.35958635355292	0.000159512680882532	0.0302604907580929	0.932359470968568
LOC55338	-0.402813529411765	4.65367333333333	-4.35683608731047	0.000160707557757671	0.0302604907580929	0.925648934020304
EBLN3	1.04857182352941	6.85666111111111	4.35660577486781	0.000160808020427342	0.0302604907580929	0.925087003483034
FAM20B	0.675682588235296	7.09664222222222	4.35395276911992	0.000161969761601331	0.0302604907580929	0.918614286606823
MAB21L3	0.449853764705882	2.89205074074074	4.35343453693694	0.000162197662277224	0.0302604907580929	0.917349974612575
RPL7A	0.808017058823534	10.8410285185185	4.34319970540132	0.000166764236136806	0.030853423267172	0.892384085789475
AP4B1	0.998094117647057	5.66875037037037	4.33875347133031	0.000168787516860275	0.030853423267172	0.881540551700158
OR7C1	-0.313974941176471	2.96432592592593	-4.33473806728226	0.000170635627031829	0.030853423267172	0.871748889394643
LGALS3	1.95056476470588	8.39957962962963	4.33369956376856	0.00017111685613887	0.030853423267172	0.869216652996336
RPS27A	0.553687058823533	12.2782222222222	4.33131914060982	0.000172224990105482	0.030853423267172	0.86341262603052
UQCRC2	0.782150176470585	9.85481407407407	4.32876835968213	0.000173420316495366	0.030853423267172	0.857193663275079
CLVS1	0.956653882352942	6.44695037037037	4.3265808783717	0.000174451936646267	0.030853423267172	0.851860808979397
HOXB6	0.986180941176469	7.11141925925926	4.32647929453312	0.000174499991123662	0.030853423267172	0.851613166172849
COMMD3	0.658018647058821	7.42373296296296	4.3221323584465	0.000176568645468586	0.0310164610208844	0.841016811600349
UQCRB	0.98266964705882	8.82626407407407	4.31713630204241	0.000178976209768896	0.031088210392633	0.82883977516018
MKLN1	0.703587352941179	7.35113555555556	4.31651988522517	0.00017927549982444	0.031088210392633	0.827337487602711
ABLIM1	0.984033294117648	8.43745148148148	4.31349071467594	0.000180753473570552	0.0311431771093603	0.819955403467974
SH3PXD2A	0.940001470588235	7.98826222222222	4.31116795833132	0.000181894942454493	0.0311431771093603	0.814295298021305
RPL30	1.41424352941177	10.7529803703704	4.30803854292169	0.000183444116149587	0.0312108819501801	0.806670140483288
KANSL3	0.73827305882353	7.45669740740741	4.30098735249657	0.000186982733503521	0.0316141056671079	0.789491784718436
LOC102723728 /// NOMO2 /// NOMO3	0.758599588235295	10.2479922222222	4.28738627390322	0.000194000278744659	0.0325485138399776	0.756366827270496
MAN2B2	0.766275176470588	6.32438444444444	4.28338873565809	0.000196111938249102	0.0325485138399776	0.746633627917865
LAPTM4A	1.05764976470588	7.26953037037037	4.28277747429952	0.000196436829074468	0.0325485138399776	0.745145437971172
AGAP4 /// AGAP6 /// AGAP7P /// LOC101060581 /// LOC105369258	0.816955764705882	6.08926444444444	4.28111703684382	0.00019732205640087	0.0325485138399776	0.741103046983861
PSMB8	0.922412588235295	7.3355537037037	4.27600134787889	0.00020007426119315	0.032802478265437	0.728650073426662
RPL13A /// SNORD33	-0.550136058823531	10.943092962963	-4.26559319910265	0.000205791516162856	0.0335365788869734	0.703320156301165
SPOPL	0.766449764705881	6.43901851851852	4.26116819342012	0.000208270871325553	0.0337373868928076	0.69255379781104
NT5DC3	0.772741999999999	6.15296074074074	4.256759276441	0.000210770584857899	0.0339390825093803	0.681828153378631
TFE3	-0.583139117647066	9.58647666666667	-4.25290215697619	0.000212981760443144	0.0340535762508009	0.672446171220471
MRPS35	0.845455647058822	7.04518407407407	4.24971975673702	0.000214823394622609	0.0340535762508009	0.664706280155384
ICK	0.644527529411767	6.96469037037037	4.24838090524855	0.00021560287606911	0.0340535762508009	0.661450318996232
MAPT	-0.438885117647061	7.38894407407407	-4.24681704729805	0.000216516897646672	0.0340535762508009	0.657647350881785
NFATC2	-0.743795117647059	6.30138444444444	-4.23761998466734	0.000221970290687512	0.0347094815241536	0.635286184974351
EIF3E	0.566892352941178	11.4927777777778	4.22491726839413	0.000229726227513869	0.0357158270500298	0.604413360656082
ATXN3L	-0.373563352941177	3.40331555555556	-4.21536430025597	0.000235734872792362	0.0364405701644513	0.581204898568517
PLEKHM1	-0.524226647058824	5.72498962962963	-4.21160086800303	0.000238144407543579	0.0365452895557605	0.572064026273756
TROVE2	0.658360058823533	8.72981	4.20850559625961	0.000240144374343906	0.0365452895557605	0.564546967699668
ZNF212	0.643293352941176	5.11959444444445	4.20691587270485	0.000241177991846837	0.0365452895557605	0.560686557900481
IFITM1 /// IFITM2	2.17417711764706	6.54695666666667	4.20593793701608	0.000241816014730191	0.0365452895557605	0.558311897273454
ZKSCAN8	-0.578058529411766	9.97083777777778	-4.20057663623073	0.000245343560655373	0.0368724111269398	0.545294910794157
ABR	0.508259882352943	7.37992851851852	4.18997441792263	0.000252469735724089	0.0375283506142102	0.519560911684374
GAPT	-0.296470411764707	2.18447555555556	-4.18995551913172	0.000252482619096047	0.0375283506142102	0.519515049222059
RPS12 /// SNORA33	0.598028941176471	9.70877925925926	4.18549685697798	0.000255540317926558	0.0377047168125948	0.508695957248024
LOC100287792	-0.293030294117648	5.98355555555556	-4.18341937851841	0.000256977487411683	0.0377047168125948	0.503655517848009
GALM	0.641836647058823	8.19165962962963	4.17834445632011	0.000260521887585094	0.0377047168125948	0.491344291225311
APOLD1	1.65604829411764	6.86859592592593	4.17622132889487	0.000262018990116596	0.0377047168125948	0.486194527076901
PITRM1	-0.422389294117647	6.34656481481481	-4.17278412303721	0.000264460725469877	0.0377047168125948	0.477858297595654
SND1	0.723932588235293	9.43902259259259	4.16685395006979	0.000268726336317798	0.0377047168125948	0.463478543063026
PSMD1	0.860631470588235	8.21390592592593	4.16488176581633	0.000270159932639246	0.0377047168125948	0.458697048788858
AGTPBP1	-0.381070411764704	7.20603222222222	-4.16369381943638	0.000271027100042968	0.0377047168125948	0.455817094023304
ZRANB2	1.14518	7.24621074074074	4.16356800817543	0.000271119099432592	0.0377047168125948	0.455512096044766
NAA30	0.961986235294117	4.97724296296296	4.16309573406899	0.000271464724587494	0.0377047168125948	0.454367199107507
CDCA7L	0.730067882352939	7.00671962962963	4.16094754668991	0.000273042331252997	0.0377047168125948	0.449159790525231
SNHG1 /// SNORD26	-0.674913352941179	6.70197444444444	-4.16042656094591	0.000273426298979399	0.0377047168125948	0.44789693955672
LOC100507487	0.43903117647059	3.70095296296296	4.15458137166093	0.000277770911688123	0.0377047168125948	0.433730224744529
MYBBP1A	0.508011941176468	7.34343962962963	4.15285981954402	0.000279063443113957	0.0377047168125948	0.429558417509135
TP53TG5	-0.418221647058824	6.26785074074074	-4.15151586909324	0.000280076596379216	0.0377047168125948	0.426301848940581
NBPF5P	-0.482986823529413	4.59118481481481	-4.1510631374737	0.000280418710092094	0.0377047168125948	0.425204860914026
OSCAR	-0.447446823529411	5.93318777777778	-4.1506360201867	0.000280741845895865	0.0377047168125948	0.424169956098115
RNU6ATAC	-0.63078811764706	8.10139888888889	-4.15042692521021	0.000280900170728855	0.0377047168125948	0.42366332573636
ARHGAP32	0.660953058823529	6.98289037037037	4.14845066734443	0.000282400933031887	0.0377047168125948	0.418875130980884
LINC01620	-0.392548823529412	4.08966037037037	-4.14566649408434	0.000284528653874087	0.0377047168125948	0.412130129824392
APP	0.922444117647057	10.5961118518519	4.14465370928942	0.000285306560658258	0.0377047168125948	0.409676726273317
DDX1	0.730294941176469	4.84274666666667	4.14334649906727	0.000286313714108612	0.0377047168125948	0.406510248497324
SETD5	0.730903470588236	7.91566851851852	4.14305360663352	0.000286539856575404	0.0377047168125948	0.405800793604141
WAPL	1.07474794117647	6.38686185185185	4.1423031971633	0.000287120052616979	0.0377047168125948	0.403983163289223
USP24	0.724845235294116	6.48483296296296	4.13069948837078	0.000296240626617655	0.0387144996679266	0.375884081469613
APPL1	-0.440371470588235	6.68988592592593	-4.12112884329122	0.000303977746083415	0.0392052147463275	0.352718553912904
EPC1 /// IGHG1 /// IGHV1-69 /// IGHV3-48 /// IGK /// SCFV /// SKAP2	-0.435432352941177	2.64629111111111	-4.12002063874723	0.000304886415302353	0.0392052147463275	0.350036783189147
PCCB	0.662746058823529	6.93619444444444	4.11846755222659	0.000306164372471024	0.0392052147463275	0.346278647476745
ATXN7L3B	0.604421529411763	9.3376362962963	4.1173260353708	0.000307107035629936	0.0392052147463275	0.343516582691644
ASNSD1	0.645774529411766	6.58187222222222	4.11716310916168	0.000307241813034949	0.0392052147463275	0.343122370339036
EEF1A1 /// EEF1A1P5	1.05790076470588	7.66009333333333	4.11476748423075	0.000309230290850457	0.0392099021704607	0.337326295149892
PRPF39	0.970896294117647	3.67196592592593	4.11066940926276	0.000312661336498038	0.0392099021704607	0.327412642118636
GPR26	-0.373734882352942	4.62024555555556	-4.10881324307645	0.000314227703312955	0.0392099021704607	0.322922975078156
DNAJC1	0.551555882352941	7.48927407407407	4.1038770200201	0.000318430980121499	0.0392099021704607	0.310985096371182
ENSA	0.74166576470588	9.48567925925926	4.10122887492454	0.000320708710120174	0.0392099021704607	0.304581833669641
ARHGEF9	-0.747260823529412	7.02457555555556	-4.10069571831513	0.000321169228425232	0.0392099021704607	0.303292742459787
RPS15A	0.619804117647051	11.742462962963	4.09928949603712	0.000322386992916507	0.0392099021704607	0.299892858732054
GPR173	-0.337698705882354	5.94499111111111	-4.09881948844527	0.000322795025245298	0.0392099021704607	0.2987565488288
LOC105370612	-0.320487764705883	5.14692259259259	-4.09720426729468	0.000324201146831659	0.0392099021704607	0.294851704939489
PEX5L	-0.383820588235293	2.62329481481481	-4.09646295520851	0.00032484851112977	0.0392099021704607	0.293059656025416
TTC27	0.594073529411765	4.4799337037037	4.09478600474911	0.000326317642597884	0.0392099021704607	0.289006013430031
FAF1	0.614247882352939	8.18146333333333	4.09383078221429	0.000327157412474546	0.0392099021704607	0.286697118910483
PRKAR2B	-0.474977235294119	5.59791074074074	-4.09339776017257	0.000327538798621197	0.0392099021704607	0.285650482195135
CACUL1	0.610980647058822	8.33761148148148	4.09336175872267	0.000327570526782645	0.0392099021704607	0.285563465744454
STAMBPL1	0.713088470588236	6.08864037037037	4.09126672586499	0.000329422109578754	0.0392578277899756	0.280499959693333
LTN1	0.608547294117645	6.83568259259259	4.08804095538879	0.000332293216380097	0.039426298638221	0.272704501027758
RPSA /// SNORA6	-0.767013294117648	8.5930162962963	-4.08338648326772	0.00033647944494365	0.0397486547799809	0.261458430983795
RPS15A /// RPS15AP1	0.605573529411767	11.329762962963	4.08072122031805	0.000338899930013743	0.0398598696570367	0.25501973867088
ATPAF1	0.883569235294118	6.40146962962963	4.07843242301992	0.000340992208000482	0.0398598696570367	0.249491135074751
ZNF331	-0.723709058823531	5.72084666666667	-4.07495347684619	0.000344196839444298	0.0398598696570367	0.241088839666478
